,Name,Bezoldiging,Functie,functievervullingString,Dienstverband,Dienstbetrekking,Beloning,Beloningen,Subtotaal,Bezoldigingsmaximum,Onverschuldigd,Overschrijding,Toelichting
0,L. Kater,"145.966
","1-mei-17
","1-mei-17
",,"Ja
","134.248
","11.718
",,"163.000
","heeft niet geleid tot een
",,
1,T.J. Weert,"14.670
","Voorzitter RvT
","28-jun-17
",,,,,,"24.450
","Dit heeft niet geleid tot ee
",,
2,B.A.W.M,"9.780
","Lid RvT
","28-jun-17
",,,,,,"16.300
","nverschuldigde betalin
",,
3,J.H.J. d,"9.827
","Lid RvT
","13-mrt-19
",,,,,,"16.300
",,,
4,J.C.H.,"9.780
","Lid RvT
","10-dec-19
",,,,,,"16.300
","Dit heeft niet geleid t
",,
5,L. Poot-,"9.780
","Lid RvT
","28-jun-17
",,,,,,"16.300
","nverschuldigde betalin
",,
6,woording,,,,,,,,,,"e betaling.
",,
