Name,Bezoldiging,Functie,functievervullingString,Dienstverband,Dienstbetrekking,Beloning,Beloningen,Subtotaal,Bezoldigingsmaximum,Onverschuldigd,Overschrijding,Toelichting
L. Kater,"145.966
","1-mei-17
","1-mei-17
",,"Ja
","134.248
","11.718
",,"163.000
","heeft niet geleid tot een
",,
T.J. Weert,"14.670
","Voorzitter RvT
","28-jun-17
",,,,,,"24.450
","Dit heeft niet geleid tot ee
",,
B.A.W.M,"9.780
","Lid RvT
","28-jun-17
",,,,,,"16.300
","nverschuldigde betalin
",,
J.H.J. d,"9.827
","Lid RvT
","13-mrt-19
",,,,,,"16.300
",,,
J.C.H.,"9.780
","Lid RvT
","10-dec-19
",,,,,,"16.300
","Dit heeft niet geleid t
",,
L. Poot-,"9.780
","Lid RvT
","28-jun-17
",,,,,,"16.300
","nverschuldigde betalin
",,
woording,"9.780
",,,,,,,,,"e betaling.
",,
